source,target,type,weight
186379,185133,undirected,0.5
186379,149476,undirected,0.5
186379,194622,undirected,0.5
185133,149476,undirected,0.5
185133,194622,undirected,0.5
149476,194622,undirected,0.5
160654,55116,undirected,0.2222222222222222
160654,69304,undirected,0.13333333333333333
160654,201773,undirected,0.1
160654,168612,undirected,0.3333333333333333
160654,103339,undirected,0.26666666666666666
160654,97946,undirected,0.13333333333333333
160654,5020,undirected,0.3333333333333333
160654,83184,undirected,0.125
160654,132157,undirected,0.13333333333333333
55116,97172,undirected,0.0625
55116,69304,undirected,0.2222222222222222
55116,201773,undirected,0.16666666666666666
55116,84189,undirected,0.1171238751216467
55116,78499,undirected,0.18884579959278552
55116,4723,undirected,0.1
55116,7481,undirected,0.2222222222222222
55116,4939,undirected,0.10846522890932808
55116,95804,undirected,0.10909216333765717
55116,168612,undirected,0.2222222222222222
55116,68137,undirected,0.1
55116,969,undirected,0.19042091589856805
55116,103339,undirected,0.3740660010403623
55116,89087,undirected,0.4
55116,97946,undirected,0.2222222222222222
55116,6229,undirected,0.1
55116,1092,undirected,0.11723905476592446
55116,118924,undirected,0.16471200576475695
55116,5020,undirected,0.2
55116,6960,undirected,0.1
55116,183563,undirected,0.1
55116,83184,undirected,0.08333333333333333
55116,42013,undirected,0.1
55116,90947,undirected,0.1
55116,132157,undirected,0.24445115101520837
55116,31270,undirected,0.07142857142857142
69304,51847,undirected,0.125
69304,97172,undirected,0.13096251692421043
69304,150252,undirected,0.2
69304,78499,undirected,0.24963666419753658
69304,7481,undirected,0.13209965272372529
69304,95804,undirected,0.16617574758359693
69304,168612,undirected,0.173747941346036
69304,60309,undirected,0.1
69304,173771,undirected,0.1
69304,969,undirected,0.11791522423952538
69304,32666,undirected,0.16666666666666666
69304,103339,undirected,0.15065854478209612
69304,89087,undirected,0.1330261824083804
69304,97946,undirected,0.14733359481352695
69304,6229,undirected,0.16666666666666666
69304,118924,undirected,0.24937733402690818
69304,5020,undirected,0.125
69304,42013,undirected,0.24406808633910082
69304,132157,undirected,0.15455615543585075
69304,182645,undirected,0.16666666666666666
69304,31270,undirected,0.1
201773,103259,undirected,0.11336868622504825
201773,101967,undirected,0.3333333333333333
201773,5361,undirected,0.2799430265284432
201773,195043,undirected,0.1081574631481751
201773,78499,undirected,0.11992326200569438
201773,141333,undirected,0.125
201773,7481,undirected,0.45242245814304666
201773,4939,undirected,0.530472254927956
201773,150954,undirected,0.13255499295265621
201773,168612,undirected,0.4673349142490979
201773,168274,undirected,0.14823321945987677
201773,166480,undirected,0.125
201773,969,undirected,0.1533529297441523
201773,26464,undirected,0.12896071146918855
201773,103339,undirected,0.15944149469055777
201773,89087,undirected,0.3691647158504841
201773,97946,undirected,0.14474257570991508
201773,157657,undirected,0.125
201773,5020,undirected,0.125
201773,116979,undirected,0.13333333333333333
201773,132157,undirected,0.1588569639178901
201773,186263,undirected,0.23291431247812683
201773,31270,undirected,0.1703280626334258
168612,51847,undirected,0.16185607037779653
168612,166524,undirected,0.1
168612,103259,undirected,0.1
168612,194801,undirected,0.17132483369490875
168612,66365,undirected,0.5198159795317899
168612,150252,undirected,0.08333333333333333
168612,141690,undirected,0.125
168612,4723,undirected,0.201962121271188
168612,7481,undirected,0.4756618027654011
168612,4939,undirected,0.5181528292003049
168612,110255,undirected,0.125
168612,157821,undirected,0.08333333333333333
168612,95804,undirected,0.16617574758359693
168612,68137,undirected,0.2215676634447959
168612,168274,undirected,0.2982942396065309
168612,4862,undirected,0.23608443357822767
168612,173771,undirected,0.25
168612,171739,undirected,0.125
168612,26464,undirected,0.4312447047492538
168612,103339,undirected,0.3770770355464273
168612,89087,undirected,0.3771786762493414
168612,97946,undirected,0.40876127901809955
168612,6229,undirected,0.23283356616701592
168612,25977,undirected,0.13262557251020685
168612,26059,undirected,0.21558722225451815
168612,5020,undirected,0.3333333333333333
168612,143323,undirected,0.16666666666666666
168612,90947,undirected,0.25513693128778353
168612,132157,undirected,0.16372373183908517
168612,186263,undirected,0.21935749232238214
168612,31270,undirected,0.3939283766992269
103339,51847,undirected,0.3822738983155054
103339,166524,undirected,0.08333333333333333
103339,103259,undirected,0.13065241256881907
103339,97172,undirected,0.12475860784138632
103339,194801,undirected,0.125
103339,84189,undirected,0.15079992904282072
103339,195043,undirected,0.3
103339,78499,undirected,0.10493301400164395
103339,4723,undirected,0.16666666666666666
103339,7481,undirected,0.14926082797062057
103339,4939,undirected,0.1618334225041164
103339,150954,undirected,0.2
103339,95804,undirected,0.14814823591267806
103339,68137,undirected,0.125
103339,168274,undirected,0.44250170664214583
103339,4862,undirected,0.125
