source,target,type,weight
38279,155991,undirected,0.9512054309015401
38279,103680,undirected,0.9551906371915014
38279,104969,undirected,0.9588211647576393
38279,6115,undirected,0.9523433240612281
38279,30917,undirected,0.9514142042811361
38279,94971,undirected,0.9504741285197431
38279,702,undirected,0.9505561488032046
38279,72678,undirected,0.9506255905286751
38279,607,undirected,0.954414161195116
38279,57688,undirected,0.9544567933967637
38279,115119,undirected,0.9548362343137994
38279,52302,undirected,0.9549640598201383
38279,57837,undirected,0.952019385882311
38279,60272,undirected,0.954791212392007
38279,91752,undirected,0.9504857224349199
38279,95322,undirected,0.9506073516019699
38279,41445,undirected,0.9509233643316668
38279,55073,undirected,0.9567777178474184
38279,26479,undirected,0.959233499656147
38279,95688,undirected,0.9561042486559882
38279,68576,undirected,0.9569965053260894
38279,128283,undirected,0.953808467789988
38279,78131,undirected,0.9506443104313719
38279,65768,undirected,0.9535689199868075
155991,147040,undirected,0.9622511494163237
155991,111184,undirected,0.9657299309662327
155991,73144,undirected,0.9523389620307396
155991,6723,undirected,0.9537128659478351
155991,53846,undirected,0.958845102671748
155991,9888,undirected,0.9524807677677251
155991,21410,undirected,0.9672905055860997
155991,71293,undirected,0.9678191276026915
155991,58899,undirected,0.9554492720685497
155991,21477,undirected,0.9705808307037374
155991,115119,undirected,0.9715626235091166
155991,28773,undirected,0.9629322598062506
155991,65768,undirected,0.9731199978474135
155991,78131,undirected,0.9630555751878962
155991,91752,undirected,0.9769917935067005
155991,94234,undirected,0.9617141059731786
155991,1019,undirected,0.964132405710389
155991,58583,undirected,0.9660310872400619
155991,123198,undirected,0.9692716383286253
155991,92137,undirected,0.9609156419976537
155991,136992,undirected,0.9502377347883258
155991,11733,undirected,0.9571400587840042
155991,43031,undirected,0.9592543651414455
155991,52302,undirected,0.9561913761107447
155991,91541,undirected,0.9724092266582375
155991,81699,undirected,0.976950448994065
155991,89619,undirected,0.9563232088442408
155991,20974,undirected,0.9527690975290787
155991,1280,undirected,0.9600674614981428
155991,114851,undirected,0.9531471976072764
